id,pelicula,anio,categoria/s
2,Parque magico,2019,Aventura | Animacion | Comedia
5,Como entrenar a tu dragon 3,2019,Aventura | Animacion | Accion
6,La gran aventura Lego 2,2019,Aventura | Animacion | Accion
10,Spider-Man - Un nuevo universo,2018,Aventura | Animacion | Accion
12,Wifi Ralph,2018,Aventura | Comedia | Animacion
13,El Grinch 2,2018,Comedia | Infantil | Animacion
18,Pie Pequeño,2018,Aventura | Comedia | Animacion
20,Los Increibles 2,2018,Accion | Aventura | Animacion
21,Jovenes Titanes en accion - La película,2018,Animacion | Accion | Comedia
22,Christopher Robin - Un reencuentro inolvidable,2018,Animacion | Aventura | Comedia
24,Hotel Transylvania 3 - Monstruos de vacaciones,2018,Animacion | Aventura | Comedia
27,Mazinger Z - Infinity,2017,Animacion | Accion | Ciencia ficcion
30,Sherlock Gnomes,2018,Animacion | Aventura | Comedia  | Comedia 
